Table S 2.1.,Gene family expansion analysis. Orthogroups demonstrating fivefold or higher expansion in intertidal versus subtidal species.*,,,,,,,,,,,
,,,,,,,,,,,,
,Columns B to F correspond to standard BLASTn output (http://www.metagenomics.wiki/tools/blast/blastn-output-format-6),,,,,,,,,,,
,Columns G to M are fragment from Proteinortho output,,,,,,,,,,,
,"ratio_ts - ratio between mean number of functional copies of orthologs found in group of intertidal (L.balthica and M.arenaria) and tidal (H.arctica, A.islandica and M.calcarea) species",,,,,,,,,,,
,"Files Aislandica_prot.fa, Harctica_prot.fa, Marenaria_prot.fa, Mbalthica_prot.fa, Mcalcarea_prot.fa are available at https://github.com/ZaTaxon/Mcalcarea_transcriptome/data",,,,,,,,,,,
,,,,,,,,,,,,
ratio_ts,percent identity, length,expect value, bit score ,Subject Title,Genes,Alg..Conn.,Aislandica_prot.fa,Harctica_prot.fa,Marenaria_prot.fa,Mbalthica_prot.fa,Mcalcarea_prot.fa
14.39860108,95.1,265,4.1E-117,430.3,XP_013074695.1 PREDICTED: 26S protease regulatory subunit 6A-B [Biomphalaria glabrata],18,0.281,TRINITY_DN28012_c0_g1::TRINITY_DN28012_c0_g1_i1::g.4880::m.4880,TRINITY_DN25169_c0_g6::TRINITY_DN25169_c0_g6_i1::g.8478::m.8478,"TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i10::g.18632::m.18632,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i11::g.18635::m.18635,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i12::g.18638::m.18638,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i1::g.18605::m.18605,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i2::g.18608::m.18608,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i3::g.18611::m.18611,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i4::g.18614::m.18614,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i5::g.18617::m.18617,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i6::g.18620::m.18620,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i7::g.18623::m.18623,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i8::g.18626::m.18626,TRINITY_DN26903_c0_g1::TRINITY_DN26903_c0_g1_i9::g.18629::m.18629","TRINITY_DN31415_c11_g4::TRINITY_DN31415_c11_g4_i1::g.42851::m.42851,TRINITY_DN31415_c11_g4::TRINITY_DN31415_c11_g4_i2::g.42852::m.42852,TRINITY_DN31415_c11_g4::TRINITY_DN31415_c11_g4_i4::g.42854::m.42854",TRINITY_DN20333_c2_g1_i1.p1
11.97222176,76.6,128,7.1E-38,166.8,XP_022342480.1 intraflagellar transport protein 20 homolog [Crassostrea virginica],20,0.245,"TRINITY_DN33058_c7_g3::TRINITY_DN33058_c7_g3_i1::g.36678::m.36678,TRINITY_DN33058_c7_g3::TRINITY_DN33058_c7_g3_i2::g.36679::m.36679",TRINITY_DN33520_c0_g1::TRINITY_DN33520_c0_g1_i1::g.18847::m.18847,"TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i10::g.97511::m.97511,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i11::g.97512::m.97512,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i12::g.97513::m.97513,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i13::g.97515::m.97515,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i14::g.97516::m.97516,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i1::g.97502::m.97502,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i2::g.97503::m.97503,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i3::g.97504::m.97504,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i4::g.97505::m.97505,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i5::g.97506::m.97506,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i6::g.97507::m.97507,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i7::g.97508::m.97508,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i8::g.97509::m.97509,TRINITY_DN34278_c1_g1::TRINITY_DN34278_c1_g1_i9::g.97510::m.97510","TRINITY_DN24930_c5_g4::TRINITY_DN24930_c5_g4_i1::g.42078::m.42078,TRINITY_DN24930_c5_g4::TRINITY_DN24930_c5_g4_i2::g.42079::m.42079",TRINITY_DN37965_c0_g1_i1.p1
8.775602016,91,145,3.9E-69,270.8,XP_011450742.1 PREDICTED: 40S ribosomal protein S16 [Crassostrea gigas],12,0.376,TRINITY_DN25068_c0_g1::TRINITY_DN25068_c0_g1_i1::g.3622::m.3622,TRINITY_DN22204_c0_g1::TRINITY_DN22204_c0_g1_i1::g.2317::m.2317,"TRINITY_DN32775_c0_g3::TRINITY_DN32775_c0_g3_i1::g.83650::m.83650,TRINITY_DN32775_c0_g3::TRINITY_DN32775_c0_g3_i2::g.83651::m.83651,TRINITY_DN32775_c0_g3::TRINITY_DN32775_c0_g3_i3::g.83652::m.83652,TRINITY_DN32775_c0_g3::TRINITY_DN32775_c0_g3_i4::g.83653::m.83653,TRINITY_DN32775_c0_g3::TRINITY_DN32775_c0_g3_i5::g.83656::m.83656,TRINITY_DN32775_c0_g3::TRINITY_DN32775_c0_g3_i6::g.83657::m.83657,TRINITY_DN32775_c0_g3::TRINITY_DN32775_c0_g3_i9::g.83663::m.83663","TRINITY_DN23708_c0_g1::TRINITY_DN23708_c0_g1_i1::g.46948::m.46948,TRINITY_DN23708_c0_g1::TRINITY_DN23708_c0_g1_i2::g.46951::m.46951",TRINITY_DN396_c0_g1_i1.p2
8.351826395,67.6,225,2.3E-82,315.1,XP_021363044.1 thioredoxin domain-containing protein 9-like [Mizuhopecten yessoensis],9,0.362,TRINITY_DN29842_c3_g6::TRINITY_DN29842_c3_g6_i1::g.20687::m.20687,TRINITY_DN22833_c0_g1::TRINITY_DN22833_c0_g1_i2::g.11088::m.11088,TRINITY_DN26806_c3_g4::TRINITY_DN26806_c3_g4_i1::g.112189::m.112189,"TRINITY_DN30056_c4_g2::TRINITY_DN30056_c4_g2_i1::g.1929::m.1929,TRINITY_DN30056_c4_g2::TRINITY_DN30056_c4_g2_i2::g.1930::m.1930,TRINITY_DN30056_c4_g2::TRINITY_DN30056_c4_g2_i3::g.1931::m.1931,TRINITY_DN30056_c4_g2::TRINITY_DN30056_c4_g2_i4::g.1932::m.1932,TRINITY_DN30056_c4_g2::TRINITY_DN30056_c4_g2_i6::g.1933::m.1933",TRINITY_DN6043_c3_g1_i1.p1
